
2025/04/15 (01:05:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:30) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:31) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:32) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:33) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
